SOVisitFreq,SOPartFreq,SOComm,SOAccount,ResponseId
A few times per week,Less than once per month or monthly,"No, not really",Yes,472
Multiple times per day,,"No, not at all",No,473
A few times per week,A few times per week,"Yes, somewhat",Yes,474
Daily or almost daily,A few times per month or weekly,"Yes, definitely",Yes,475
Multiple times per day,Multiple times per day,"Yes, somewhat",Yes,476
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,477
Multiple times per day,Daily or almost daily,"Yes, somewhat",Yes,478
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,479
A few times per week,Less than once per month or monthly,"No, not really",Yes,480
A few times per week,,"No, not really",Not sure/can't remember,481
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,482
A few times per month or weekly,,"No, not really",No,483
A few times per month or weekly,,Neutral,No,484
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,485
A few times per week,Less than once per month or monthly,Neutral,Yes,486
A few times per week,Less than once per month or monthly,"No, not really",Yes,487
A few times per week,Less than once per month or monthly,"No, not really",Yes,488
Multiple times per day,A few times per month or weekly,"No, not really",Yes,489
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,490
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,491
Daily or almost daily,,Neutral,Not sure/can't remember,492
Daily or almost daily,,"Yes, somewhat",No,493
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,494
,,Neutral,No,495
Daily or almost daily,,"No, not really",No,496
Less than once per month or monthly,,"No, not at all",Not sure/can't remember,497
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,498
A few times per month or weekly,,Neutral,No,499
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,500
Daily or almost daily,Daily or almost daily,Neutral,Yes,501
A few times per month or weekly,,"No, not really",No,502
Multiple times per day,Daily or almost daily,"Yes, somewhat",Yes,503
A few times per month or weekly,,"No, not really",No,504
Daily or almost daily,A few times per month or weekly,"Yes, definitely",Yes,505
A few times per week,,"No, not at all",No,506
A few times per week,,Neutral,No,507
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,508
Daily or almost daily,,"No, not really",No,509
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,510
A few times per week,,"No, not at all",Not sure/can't remember,511
Multiple times per day,,"No, not at all",No,512
Multiple times per day,Less than once per month or monthly,"No, not at all",Yes,513
A few times per week,,"No, not really",No,514
Daily or almost daily,A few times per week,"Yes, somewhat",Yes,515
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,516
Multiple times per day,Less than once per month or monthly,"Yes, somewhat",Yes,517
Daily or almost daily,,Neutral,No,518
Daily or almost daily,,"No, not really",No,519
A few times per week,Less than once per month or monthly,"No, not really",Yes,520
A few times per week,Less than once per month or monthly,"No, not really",Yes,522
Daily or almost daily,A few times per week,"Yes, somewhat",Yes,523
Multiple times per day,Less than once per month or monthly,"Yes, somewhat",Yes,524
A few times per week,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,525
A few times per week,,"No, not really",No,526
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,527
A few times per week,Less than once per month or monthly,Neutral,Yes,528
A few times per week,,"No, not really",Not sure/can't remember,529
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,530
A few times per week,Less than once per month or monthly,Neutral,Yes,531
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,532
A few times per month or weekly,,"No, not really",No,533
A few times per month or weekly,,"No, not really",Not sure/can't remember,534
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,Neutral,Yes,535
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,536
A few times per month or weekly,,Neutral,No,537
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,538
A few times per month or weekly,,"No, not at all",No,539
A few times per week,Less than once per month or monthly,"No, not really",Yes,540
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,541
A few times per month or weekly,,"No, not really",Not sure/can't remember,543
Less than once per month or monthly,,"No, not really",No,544
Daily or almost daily,A few times per month or weekly,Neutral,Yes,545
A few times per week,,"No, not really",Not sure/can't remember,546
A few times per week,,Neutral,No,547
A few times per week,Less than once per month or monthly,Neutral,Yes,548
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,549
A few times per week,,"No, not really",No,550
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,551
Daily or almost daily,Multiple times per day,"Yes, definitely",Yes,552
A few times per week,,"No, not really",No,553
Daily or almost daily,,"No, not really",No,554
Daily or almost daily,Less than once per month or monthly,"No, not at all",Yes,555
Daily or almost daily,,"No, not really",No,556
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,557
Less than once per month or monthly,Less than once per month or monthly,"No, not at all",Yes,558
A few times per week,,Neutral,No,559
A few times per week,,Neutral,No,560
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,561
Multiple times per day,,"No, not really",No,562
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,563
A few times per week,Less than once per month or monthly,Neutral,Yes,564
A few times per week,A few times per week,"No, not really",Yes,565
Multiple times per day,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,566
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,567
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,568
A few times per month or weekly,,"No, not really",No,569
A few times per week,,Neutral,No,570
A few times per week,A few times per month or weekly,"Yes, somewhat",Yes,571
Less than once per month or monthly,Less than once per month or monthly,"No, not really",Yes,572
A few times per week,,"No, not at all",Not sure/can't remember,573
Multiple times per day,A few times per week,"Yes, somewhat",Yes,574
A few times per month or weekly,,"No, not at all",No,575
A few times per week,,"No, not at all",No,576
Multiple times per day,,"No, not really",Not sure/can't remember,577
Daily or almost daily,,"No, not at all",No,578
A few times per week,,"No, not really",No,579
Less than once per month or monthly,,Neutral,No,580
Daily or almost daily,,"No, not really",Not sure/can't remember,581
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,582
A few times per week,A few times per month or weekly,"No, not really",Yes,583
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,584
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,585
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,586
A few times per week,Less than once per month or monthly,"No, not really",Yes,587
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,588
A few times per week,A few times per month or weekly,Neutral,Yes,589
Daily or almost daily,,"No, not at all",No,590
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,591
A few times per week,Less than once per month or monthly,"No, not really",Yes,592
A few times per month or weekly,,"No, not really",No,593
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,594
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,595
A few times per week,Less than once per month or monthly,"No, not really",Yes,596
Daily or almost daily,A few times per week,"Yes, somewhat",Yes,597
Daily or almost daily,A few times per month or weekly,"Yes, definitely",Yes,598
Daily or almost daily,A few times per week,"Yes, definitely",Yes,599
A few times per week,,"No, not really",No,601
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,602
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,603
A few times per week,,"No, not at all",No,604
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,605
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,606
Daily or almost daily,,"No, not really",No,607
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,608
Multiple times per day,Less than once per month or monthly,Neutral,Yes,609
A few times per week,Less than once per month or monthly,"No, not really",Yes,610
Multiple times per day,,Neutral,No,611
A few times per week,Less than once per month or monthly,"No, not really",Yes,612
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,613
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,614
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,615
A few times per week,,"No, not really",No,616
Daily or almost daily,Daily or almost daily,Neutral,Yes,617
Multiple times per day,A few times per week,"Yes, somewhat",Yes,618
A few times per month or weekly,,"No, not at all",Not sure/can't remember,619
A few times per month or weekly,,"No, not really",Not sure/can't remember,620
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,621
A few times per week,,Neutral,No,622
A few times per week,Less than once per month or monthly,"No, not really",Yes,623
A few times per week,,"No, not really",Not sure/can't remember,624
A few times per week,Less than once per month or monthly,"No, not really",Yes,625
Less than once per month or monthly,,"No, not really",Not sure/can't remember,626
A few times per month or weekly,,"No, not really",Not sure/can't remember,627
A few times per month or weekly,,Neutral,No,628
Multiple times per day,Less than once per month or monthly,"Yes, definitely",Yes,629
Multiple times per day,Less than once per month or monthly,Neutral,Yes,630
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,631
Less than once per month or monthly,,"No, not at all",No,632
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,633
A few times per month or weekly,,Neutral,No,634
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,635
A few times per week,A few times per month or weekly,"Yes, somewhat",Yes,636
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,637
A few times per week,,Neutral,Not sure/can't remember,638
Multiple times per day,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,639
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,640
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,641
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,642
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,643
A few times per week,Less than once per month or monthly,Neutral,Yes,644
Daily or almost daily,Daily or almost daily,"Yes, definitely",Yes,645
A few times per week,Less than once per month or monthly,"No, not at all",Yes,646
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,647
A few times per week,,"No, not at all",No,648
A few times per month or weekly,,"No, not at all",No,649
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,650
A few times per week,Less than once per month or monthly,Neutral,Yes,651
Multiple times per day,A few times per week,"Yes, somewhat",Yes,652
Daily or almost daily,,"No, not really",Not sure/can't remember,653
Daily or almost daily,,Neutral,Not sure/can't remember,654
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,655
Multiple times per day,,"No, not really",No,656
Daily or almost daily,,"No, not at all",Not sure/can't remember,657
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,658
Daily or almost daily,,Neutral,No,659
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,660
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,661
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,662
Multiple times per day,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,663
Less than once per month or monthly,Less than once per month or monthly,"No, not really",Yes,664
Daily or almost daily,,"No, not really",No,665
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,666
Multiple times per day,Daily or almost daily,"Yes, definitely",Yes,667
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,668
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,669
Multiple times per day,A few times per week,Neutral,Yes,670
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,671
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,672
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,673
A few times per month or weekly,Less than once per month or monthly,"Yes, definitely",Yes,674
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,675
A few times per week,Less than once per month or monthly,"No, not really",Yes,676
A few times per week,A few times per month or weekly,Neutral,Yes,677
A few times per week,Less than once per month or monthly,Neutral,Yes,678
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,679
Multiple times per day,,"No, not really",No,680
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,681
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,682
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,683
Multiple times per day,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,684
Less than once per month or monthly,Less than once per month or monthly,"No, not really",Yes,685
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,686
Daily or almost daily,,"No, not really",No,687
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,688
Daily or almost daily,A few times per month or weekly,"No, not really",Yes,689
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,690
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,691
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,692
Daily or almost daily,,"No, not really",No,693
Daily or almost daily,,Neutral,No,694
Multiple times per day,,Not sure,No,695
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,696
A few times per week,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,697
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,698
Daily or almost daily,,"No, not really",Not sure/can't remember,699
Daily or almost daily,Less than once per month or monthly,"No, not at all",Yes,700
A few times per week,Less than once per month or monthly,Neutral,Yes,701
A few times per week,Less than once per month or monthly,"No, not really",Yes,702
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,703
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,704
Daily or almost daily,A few times per month or weekly,Neutral,Yes,706
Multiple times per day,I have never participated in Q&A on Stack Overflow,Neutral,Yes,707
A few times per week,,Neutral,Not sure/can't remember,708
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,709
,,"No, not really",No,710
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,711
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,712
Multiple times per day,,"No, not really",No,713
A few times per week,,Neutral,No,714
Daily or almost daily,A few times per month or weekly,Neutral,Yes,715
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,716
A few times per month or weekly,,Neutral,Not sure/can't remember,717
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,718
Daily or almost daily,,"No, not really",No,719
Daily or almost daily,,"No, not at all",No,720
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,721
A few times per week,A few times per week,"No, not at all",Yes,722
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,723
Multiple times per day,A few times per week,"Yes, definitely",Yes,724
A few times per week,,"No, not really",No,725
A few times per week,Less than once per month or monthly,"No, not really",Yes,726
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,727
Multiple times per day,,"No, not really",No,728
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,729
A few times per week,Less than once per month or monthly,"No, not really",Yes,730
A few times per week,Less than once per month or monthly,Neutral,Yes,731
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,732
Multiple times per day,,"No, not at all",No,733
A few times per week,A few times per week,"Yes, somewhat",Yes,734
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,735
A few times per week,Less than once per month or monthly,Neutral,Yes,736
Less than once per month or monthly,,"No, not at all",No,737
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,738
Daily or almost daily,,"No, not at all",No,739
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,740
Multiple times per day,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,741
Less than once per month or monthly,,"No, not at all",No,742
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,743
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,744
Daily or almost daily,,"No, not really",No,745
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,746
A few times per week,Less than once per month or monthly,"No, not really",Yes,747
Multiple times per day,,"No, not at all",No,748
A few times per week,I have never participated in Q&A on Stack Overflow,Not sure,Yes,749
Less than once per month or monthly,Less than once per month or monthly,"No, not really",Yes,750
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,751
A few times per week,Less than once per month or monthly,"No, not really",Yes,752
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,753
A few times per month or weekly,,"No, not at all",No,754
Multiple times per day,,"No, not at all",No,755
Daily or almost daily,,"No, not really",No,756
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,757
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,758
A few times per week,,Neutral,No,759
Multiple times per day,A few times per week,"Yes, definitely",Yes,760
A few times per week,Less than once per month or monthly,"No, not really",Yes,761
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,762
Daily or almost daily,,"No, not at all",Not sure/can't remember,763
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,764
A few times per month or weekly,,"No, not at all",No,765
A few times per month or weekly,,"No, not at all",No,766
Daily or almost daily,A few times per week,"No, not really",Yes,767
Multiple times per day,Daily or almost daily,"Yes, definitely",Yes,768
Daily or almost daily,A few times per month or weekly,Neutral,Yes,769
Multiple times per day,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,770
Daily or almost daily,,"No, not at all",No,771
A few times per week,,"No, not at all",No,772
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,773
A few times per week,I have never participated in Q&A on Stack Overflow,Neutral,Yes,774
Multiple times per day,I have never participated in Q&A on Stack Overflow,"Yes, definitely",Yes,775
A few times per week,Less than once per month or monthly,"No, not really",Yes,776
Daily or almost daily,,"No, not really",No,777
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,778
A few times per week,,"No, not really",Not sure/can't remember,779
A few times per week,Less than once per month or monthly,"No, not really",Yes,780
A few times per week,,"No, not at all",Not sure/can't remember,781
A few times per week,,"No, not really",No,782
A few times per week,,"No, not really",No,783
A few times per week,,"No, not really",No,784
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,785
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,786
A few times per week,,"No, not really",Not sure/can't remember,787
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,788
Multiple times per day,,"No, not really",No,789
Daily or almost daily,,"No, not really",No,790
A few times per month or weekly,A few times per month or weekly,"Yes, somewhat",Yes,791
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,792
A few times per week,Less than once per month or monthly,Neutral,Yes,793
A few times per week,,"No, not at all",No,794
Daily or almost daily,,"No, not at all",Not sure/can't remember,795
Multiple times per day,,"No, not at all",No,796
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,797
A few times per month or weekly,,"No, not at all",No,798
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,799
Multiple times per day,,"No, not at all",No,800
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,801
Daily or almost daily,,"No, not really",No,802
Multiple times per day,Multiple times per day,"Yes, somewhat",Yes,803
Multiple times per day,A few times per week,"Yes, definitely",Yes,804
Less than once per month or monthly,,"No, not at all",No,805
Daily or almost daily,,"No, not at all",No,806
A few times per month or weekly,,"No, not really",Not sure/can't remember,807
A few times per week,Less than once per month or monthly,"No, not really",Yes,809
A few times per week,Less than once per month or monthly,Neutral,Yes,810
A few times per week,,"No, not really",Not sure/can't remember,811
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,812
A few times per month or weekly,,"No, not really",No,813
A few times per month or weekly,A few times per month or weekly,"Yes, somewhat",Yes,814
Daily or almost daily,A few times per week,"Yes, definitely",Yes,815
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,816
Less than once per month or monthly,,"No, not at all",No,817
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,818
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,819
A few times per week,Less than once per month or monthly,"No, not really",Yes,820
A few times per month or weekly,A few times per month or weekly,"No, not really",Yes,821
A few times per week,I have never participated in Q&A on Stack Overflow,Neutral,Yes,822
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,823
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,824
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,825
A few times per month or weekly,A few times per month or weekly,"Yes, definitely",Yes,826
A few times per week,,"No, not really",No,827
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,828
A few times per week,Less than once per month or monthly,Neutral,Yes,829
A few times per week,Less than once per month or monthly,"No, not really",Yes,830
Multiple times per day,Less than once per month or monthly,"No, not at all",Yes,831
A few times per week,Less than once per month or monthly,"No, not really",Yes,832
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,833
A few times per week,,"No, not at all",No,834
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,835
A few times per week,Less than once per month or monthly,"No, not really",Yes,836
A few times per month or weekly,,"No, not at all",No,837
A few times per week,Less than once per month or monthly,"No, not really",Yes,838
Multiple times per day,,Neutral,No,839
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,840
A few times per month or weekly,,"No, not really",Not sure/can't remember,841
A few times per week,,"No, not at all",No,842
Daily or almost daily,,Neutral,No,843
Multiple times per day,,"Yes, somewhat",Not sure/can't remember,844
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,845
A few times per week,A few times per month or weekly,"Yes, somewhat",Yes,846
A few times per month or weekly,A few times per month or weekly,"Yes, definitely",Yes,847
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,848
Daily or almost daily,A few times per month or weekly,"No, not at all",Yes,849
Daily or almost daily,,"No, not at all",No,850
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,851
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,852
Daily or almost daily,,"No, not at all",No,853
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,854
Daily or almost daily,,Neutral,No,855
Less than once per month or monthly,,"No, not at all",No,856
A few times per month or weekly,,"No, not at all",No,857
Less than once per month or monthly,Less than once per month or monthly,"No, not at all",Yes,858
A few times per week,,"No, not at all",No,859
A few times per week,Less than once per month or monthly,"No, not really",Yes,860
Less than once per month or monthly,Less than once per month or monthly,"No, not really",Yes,861
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,862
A few times per month or weekly,,Neutral,No,863
A few times per week,I have never participated in Q&A on Stack Overflow,Neutral,Yes,864
Less than once per month or monthly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,865
A few times per week,,"No, not at all",No,866
Daily or almost daily,,"No, not at all",No,867
Less than once per month or monthly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,868
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,869
A few times per month or weekly,,"No, not at all",No,870
A few times per week,,"No, not really",No,871
A few times per week,,"No, not really",No,872
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,873
Daily or almost daily,Less than once per month or monthly,"Yes, definitely",Yes,874
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,875
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,876
Multiple times per day,,Neutral,No,877
Less than once per month or monthly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,878
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,879
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,880
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,881
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,882
Daily or almost daily,,"No, not really",Not sure/can't remember,883
Multiple times per day,Less than once per month or monthly,"Yes, somewhat",Yes,884
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,885
A few times per week,,"No, not really",No,886
Multiple times per day,,"No, not at all",No,887
A few times per week,I have never participated in Q&A on Stack Overflow,Neutral,Yes,888
Daily or almost daily,,"No, not at all",No,889
Daily or almost daily,,"No, not really",No,890
Less than once per month or monthly,Less than once per month or monthly,"No, not at all",Yes,891
Multiple times per day,A few times per month or weekly,"No, not really",Yes,892
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,893
A few times per week,Less than once per month or monthly,Neutral,Yes,894
A few times per week,Less than once per month or monthly,Neutral,Yes,895
Daily or almost daily,Less than once per month or monthly,"No, not at all",Yes,896
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,897
A few times per week,I have never participated in Q&A on Stack Overflow,Neutral,Yes,898
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,899
A few times per month or weekly,,"No, not at all",No,900
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,901
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,902
A few times per week,A few times per month or weekly,"No, not really",Yes,903
A few times per month or weekly,,"No, not really",No,904
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,905
Less than once per month or monthly,,"No, not at all",No,906
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,907
A few times per week,Less than once per month or monthly,Neutral,Yes,908
Daily or almost daily,Less than once per month or monthly,"No, not at all",Yes,909
Multiple times per day,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,910
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,911
A few times per week,,"No, not at all",Not sure/can't remember,912
Daily or almost daily,A few times per month or weekly,Neutral,Yes,913
A few times per month or weekly,,"No, not really",No,914
Daily or almost daily,,Neutral,No,915
Multiple times per day,,"No, not really",Not sure/can't remember,916
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,917
A few times per week,,"No, not at all",No,918
,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,919
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,920
A few times per week,Less than once per month or monthly,"No, not really",Yes,921
A few times per month or weekly,,"No, not really",Not sure/can't remember,922
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,Neutral,Yes,923
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,924
A few times per week,,"No, not at all",No,925
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,926
A few times per week,A few times per month or weekly,"Yes, somewhat",Yes,927
A few times per month or weekly,,"No, not really",Not sure/can't remember,928
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,929
A few times per month or weekly,,"No, not really",Not sure/can't remember,930
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,931
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,932
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,933
A few times per week,Less than once per month or monthly,Neutral,Yes,935
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,936
A few times per week,I have never participated in Q&A on Stack Overflow,"Yes, definitely",Yes,937
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,938
Multiple times per day,Less than once per month or monthly,Neutral,Yes,939
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,940
Daily or almost daily,A few times per month or weekly,"No, not at all",Yes,941
A few times per week,A few times per month or weekly,"Yes, somewhat",Yes,942
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,943
Daily or almost daily,A few times per week,"Yes, somewhat",Yes,944
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,945
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,946
Multiple times per day,Less than once per month or monthly,"No, not at all",Yes,947
A few times per month or weekly,,"No, not really",No,948
A few times per month or weekly,,"No, not really",Not sure/can't remember,949
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,950
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,951
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,952
