ResponseId,PlatformWantToWorkWith
1827,AWS
1828,OVH
1831,OVH
1832,Firebase
1833,AWS
1833,Google Cloud
1834,Digital Ocean
1834,Linode
1835,Linode
1836,AWS
1836,Managed Hosting
1836,Microsoft Azure
1837,Linode
1838,AWS
1838,Google Cloud
1839,AWS
1840,AWS
1848,AWS
1849,AWS
1849,Heroku
1850,Digital Ocean
1850,Heroku
1852,AWS
1853,Digital Ocean
1853,Google Cloud
1854,AWS
1855,AWS
1855,Firebase
1855,Google Cloud
1858,AWS
1858,Google Cloud
1858,Microsoft Azure
1858,OpenStack
1860,AWS
1862,AWS
1863,Google Cloud
1863,Microsoft Azure
1864,AWS
1865,Firebase
1866,VMware
1869,AWS
1869,Google Cloud
1870,Google Cloud
1870,Microsoft Azure
1871,Microsoft Azure
1874,Microsoft Azure
1877,Digital Ocean
1879,AWS
1879,Firebase
1882,AWS
1882,IBM Cloud Or Watson
1882,Microsoft Azure
1886,Linode
1888,AWS
1888,Colocation
1888,Managed Hosting
1889,AWS
1889,Digital Ocean
1891,AWS
1893,AWS
1893,Google Cloud
1894,AWS
1898,Firebase
1898,Heroku
1898,Microsoft Azure
1899,Microsoft Azure
1900,AWS
1900,Google Cloud
1901,Linode
1902,AWS
1907,Microsoft Azure
1910,AWS
1911,Microsoft Azure
1915,AWS
1915,Microsoft Azure
1915,VMware
1916,AWS
1916,OVH
1917,AWS
1917,Microsoft Azure
1922,Microsoft Azure
1925,AWS
1925,Google Cloud
1927,Managed Hosting
1930,AWS
1930,Google Cloud
1930,Microsoft Azure
1931,AWS
1931,Firebase
1931,Google Cloud
1931,Microsoft Azure
1933,AWS
1933,Firebase
1934,AWS
1934,Digital Ocean
1935,AWS
1935,Google Cloud
1935,Managed Hosting
1937,AWS
1937,Firebase
1937,Google Cloud
1937,Heroku
1937,Microsoft Azure
1939,AWS
1940,AWS
1940,Heroku
1942,AWS
1942,Digital Ocean
1942,Google Cloud
1942,Microsoft Azure
1944,AWS
1944,Digital Ocean
1944,Linode
1947,AWS
1949,AWS
1951,Linode
1955,AWS
1955,Colocation
1956,AWS
1956,Google Cloud
1957,Microsoft Azure
1961,Colocation
1962,Microsoft Azure
1963,AWS
1963,Digital Ocean
1963,Firebase
1963,Google Cloud
1963,Microsoft Azure
1967,AWS
1967,Google Cloud
1970,Microsoft Azure
